dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
07/06/2022,1.681597155,,0.964267073,,,0.939450038,,0.791729082,,0.936184342,,0.878776934,,0.895606106,,0.956570796
08/06/2022,1.666956986,,0.956023748,,,0.940728422,,0.809242818,,0.94355947,,0.881873924,,0.881067865,,0.951176168
09/06/2022,1.64646197,,0.95206593,,,0.946118315,,0.833618835,,0.951963696,,0.887304798,,0.867188347,,0.944908227
10/06/2022,1.618926647,,0.952721731,,,0.955580359,,0.862262147,,0.96106697,,0.894370271,,0.853696358,,0.938152614
11/06/2022,1.582496276,,0.957955864,,,0.968736216,,0.887444033,,0.970563519,,0.902365382,,0.839980634,,0.931647682
12/06/2022,1.536503886,,0.967302397,,,0.98487763,,0.900885489,,0.980070567,,0.910803395,,0.825390832,,0.926278567
13/06/2022,1.482802974,,0.979815014,,,1.002993016,,0.898815217,,0.988968423,,0.919631026,,0.809478607,,0.92283602
14/06/2022,1.425323577,,0.994117506,,,1.021857745,,0.883999713,,0.996511642,,0.928849199,,0.792049729,,0.921848835
15/06/2022,1.368785517,,1.008752541,,,1.040238729,,0.864716583,,1.002108592,,0.938242337,,0.773108077,,0.923464435
16/06/2022,1.317026752,,1.022537657,,,1.056790855,,0.851772866,,1.005617127,,0.947315713,,0.752814824,,0.927422986
17/06/2022,1.271850061,,1.034490747,,,1.070160314,,0.856940727,,1.007233154,,0.955424184,,0.731686779,,0.933243796
18/06/2022,1.233238575,,1.044074712,,,1.079587498,,0.895350337,,1.00732564,,0.96207203,,0.710991091,,0.940383059
19/06/2022,1.200050247,,1.050948465,,,1.084653269,,0.979149726,,1.006345265,,0.967093064,,0.692167869,,0.948330548
20/06/2022,1.170661176,,1.054985797,,,1.085392976,,1.110607042,,1.004770365,,0.970736145,,0.67628058,,0.95666706
21/06/2022,1.143448554,,1.056412033,,,1.082481878,,1.278714081,,1.003033873,,0.973511307,,0.663802216,,0.96510482
22/06/2022,1.117073667,,1.055867288,,,1.077184762,,1.46015561,,1.00137334,,0.975996928,,0.654841458,,0.973527767
23/06/2022,1.090925019,,1.05427312,,,1.071071662,,1.626903088,,0.999675613,,0.978691908,,0.649742015,,0.981955558
24/06/2022,1.06529545,,1.052413715,,,1.065506238,,1.757694149,,0.997691557,,0.98187028,,0.649552271,,0.990321225
25/06/2022,1.040720174,,1.050568947,,,1.061157565,,1.844807029,,0.995253885,,0.985396276,,0.656305986,,0.998355188
